recipeId,isValid
11953780,true
14716275,true
19727674,true
56080247,true
38832450,true
73296420,true
28566651,true
18634825,true
32664382,true
27367683,true
37227353,true
59791878,true
29285667,true
73875266,true
17417197,true
55906057,true
12690442,true
43264408,true
49032181,true
29994062,true
43993638,true
12800457,true
28474856,true
27628059,true
14432047,true
52648006,true
56777353,true
23939027,true
41433247,true
53633136,true
17402625,true
44740115,true
34229802,true
31431775,true
17033374,true
59959573,true
12277256,true
41913944,true
47735429,true
37923126,true
12579152,true
19453432,true
18142443,true
11298331,true
11520396,true
25299020,true
54237643,true
13757846,true
89487195,true
27141992,true
49798458,true
55720775,true
23116971,true
19848689,true
82442077,true
51557858,true
31513667,true
93738889,true
27783884,true
78852447,true
29732814,true
17432133,true
89674109,true
41426402,true
55596073,true
29123931,true
54919538,true
21544017,true
28298586,true
41381531,true
92220107,true
26697721,true
12958162,true
92618387,true
17210352,true
27343388,true
17633193,true
67467945,true
42173475,true
52479260,true
21197087,true
21580009,true
18312630,true
83152223,true
33532917,true
59541778,true
18064097,true
58672909,true
77034730,true
54030019,true
36531656,true
18063177,true
79310345,true
22152984,true
54987281,true
47970260,true
53028107,true
72609192,true
58864553,true
66533301,true
17212992,true
53411894,true
15308938,true
51243775,true
34237078,true
75307378,true
38438514,true
24562785,true
53204592,true
42520793,true
52256352,true
33114798,true
43558377,true
87238277,true
39476169,true
44451671,true
27473894,true
26715857,true
27792841,true
29251469,true
73720915,true
38361109,true
12815911,true
18085712,true
31770877,true
32204436,true
23819334,true
32407790,true
21370647,true
26472085,true
19003764,true
36703268,true
58748194,true
52047831,true
96366086,true
36547848,true
33666288,true
13143014,true
46501385,true
18306540,true
35513834,true
63187828,true
32146796,true
41088465,true
18165438,true
31082024,true
86224059,true
55663537,true
41139952,true
44462383,true
25382447,true
38410732,true
31293692,true
21299019,true
27122156,true
54540978,true
62468207,true
27385625,true
55446025,true
89680167,true
28276483,true
21352781,true
52066876,true
12874140,true
68842040,true
37081734,true
25776280,true
94654760,true
87677493,true
28043738,true
54226938,true
24586521,true
11176207,true
33222447,true
24147743,true
58721399,true
59448358,true
17036403,true
64957934,true
36556579,true
97638400,true
16119414,true
38984490,true
31560448,true
44582816,true
13760132,true
11361314,true
19984057,true
21692048,true
34030458,true
24010042,true
26183417,true
72602080,true
42357501,true
45342189,true
11424092,true
15516549,true
25663707,true
36018143,true
55893810,true
34746508,true
18640529,true
41304643,true
49949171,true
11373092,true
64631924,true
57158985,true
47857545,true
15799986,true
36239298,true
32018616,true
45373002,true
58456644,true
12599236,true
59655455,true
59992720,true
59661489,true
26279624,true
